title,url,score
达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,8.8
纵横四海,https://movie.douban.com/subject/1295409/,8.8
心迷宫,https://movie.douban.com/subject/25917973/,8.7
岁月神偷,https://movie.douban.com/subject/3792799/,8.7
记忆碎片,https://movie.douban.com/subject/1304447/,8.7
惊魂记,https://movie.douban.com/subject/1293181/,9.0
忠犬八公物语,https://movie.douban.com/subject/1959195/,9.2
海街日记,https://movie.douban.com/subject/25895901/,8.8
海豚湾,https://movie.douban.com/subject/3442220/,9.3
致命魔术,https://movie.douban.com/subject/1780330/,8.9
沉默的羔羊,https://movie.douban.com/subject/1293544/,8.9
美国往事,https://movie.douban.com/subject/1292262/,9.2
哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,8.9
禁闭岛,https://movie.douban.com/subject/2334904/,8.8
蝴蝶效应,https://movie.douban.com/subject/1292343/,8.8
布达佩斯大饭店,https://movie.douban.com/subject/11525673/,8.9
心灵捕手,https://movie.douban.com/subject/1292656/,8.9
低俗小说,https://movie.douban.com/subject/1291832/,8.9
春光乍泄,https://movie.douban.com/subject/1292679/,9.0
触不可及,https://movie.douban.com/subject/6786002/,9.3
末代皇帝,https://movie.douban.com/subject/1293172/,9.3
蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,9.2
寻梦环游记,https://movie.douban.com/subject/20495023/,9.1
活着,https://movie.douban.com/subject/1292365/,9.3
指环王3：王者无敌,https://movie.douban.com/subject/1291552/,9.3
哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,9.1
乱世佳人,https://movie.douban.com/subject/1300267/,9.3
素媛,https://movie.douban.com/subject/21937452/,9.3
飞屋环游记,https://movie.douban.com/subject/2129039/,9.1
让子弹飞,https://movie.douban.com/subject/3742360/,8.9
指环王1：护戒使者,https://movie.douban.com/subject/1291571/,9.1
辩护人,https://movie.douban.com/subject/21937445/,9.2
大闹天宫,https://movie.douban.com/subject/1418019/,9.4
教父2,https://movie.douban.com/subject/1299131/,9.2
狮子王,https://movie.douban.com/subject/1301753/,9.1
死亡诗社,https://movie.douban.com/subject/1291548/,9.1
黑客帝国,https://movie.douban.com/subject/1291843/,9.1
海蒂和爷爷,https://movie.douban.com/subject/25958717/,9.3
搏击俱乐部,https://movie.douban.com/subject/1292000/,9.0
绿皮书,https://movie.douban.com/subject/27060077/,8.9
饮食男女,https://movie.douban.com/subject/1291818/,9.1
美丽心灵,https://movie.douban.com/subject/1306029/,9.0
哪吒闹海,https://movie.douban.com/subject/1307315/,9.1
被解救的姜戈,https://movie.douban.com/subject/6307447/,8.8
血战钢锯岭,https://movie.douban.com/subject/26325320/,8.7
未麻的部屋,https://movie.douban.com/subject/1395091/,9.0
头号玩家,https://movie.douban.com/subject/4920389/,8.7
七武士,https://movie.douban.com/subject/1295399/,9.3
我是山姆,https://movie.douban.com/subject/1306861/,9.0
城市之光,https://movie.douban.com/subject/1293908/,9.3
可可西里,https://movie.douban.com/subject/1308857/,8.8
虎口脱险,https://movie.douban.com/subject/1296909/,8.9
断背山,https://movie.douban.com/subject/1418834/,8.8
超脱,https://movie.douban.com/subject/5322596/,8.9
哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,8.9
天使爱美丽,https://movie.douban.com/subject/1292215/,8.7
入殓师,https://movie.douban.com/subject/2149806/,8.9
唐伯虎点秋香,https://movie.douban.com/subject/1306249/,8.7
第六感,https://movie.douban.com/subject/1297630/,8.9
幽灵公主,https://movie.douban.com/subject/1297359/,8.9
重庆森林,https://movie.douban.com/subject/1291999/,8.8
小森林 夏秋篇,https://movie.douban.com/subject/25814705/,9.0
阳光灿烂的日子,https://movie.douban.com/subject/1291875/,8.8
爱在黎明破晓前,https://movie.douban.com/subject/1296339/,8.8
七宗罪,https://movie.douban.com/subject/1292223/,8.8
摩登时代,https://movie.douban.com/subject/1294371/,9.3
喜剧之王,https://movie.douban.com/subject/1302425/,8.8
致命ID,https://movie.douban.com/subject/1297192/,8.8
被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,8.9
杀人回忆,https://movie.douban.com/subject/1300299/,8.9
加勒比海盗,https://movie.douban.com/subject/1298070/,8.8
